Code,Year,Sales,Bills
1111110671,2021,202.40001,7
1111110671,2022,100.1,3
1111110678,2021,90.75,1
1111110684,2021,2341.35,1
1111110684,2022,2731.58,1
1111110686,2021,5082.0,1
1111110687,2021,3819433.0,7
1111110688,2021,272.25,1
1111110688,2022,272.25,1
1111110690,2022,3859.9,3
1111110691,2021,75.0,7
1111110691,2022,8.7,1
1111110692,2021,6.5,5
1111110692,2022,3.0,3
1111110693,2021,79.3,4
1111110694,2021,36.5,2
1111110697,2021,206.15,5
1111110697,2022,97.4,3
1111110698,2021,119.35,3
1111110699,2021,6078.2,6
1111110699,2022,12743.09,9
1111110700,2021,927.1,1
1111110705,2022,24635.61,5
1111110707,2021,393.25,1
1111110709,2021,45.350002,5
1111110717,2022,12172.6,1
1111110718,2022,943.8,1
1111110721,2021,9193.82,2
1111110724,2021,27600.0,3
1111110727,2021,11864.16,1
1111110727,2022,66870.72,6
1111110729,2021,1037.9,1
1111110748,2021,2551.95,1
1111110748,2022,5617.5,1
1111110749,2021,1170.31,1
1111110750,2021,25682.25,2
1111110750,2022,3844.17,1
1111110752,2021,9196.0,1
1111110763,2021,182.47,1
1111110768,2021,10575.0,1
1111110768,2022,-2643.75,4
1111110769,2021,5324.0,1
1111110774,2021,9857.63,2
1111110774,2022,14786.45,4
1111110776,2022,34194.598,4
1111110777,2021,90.75,1
1111110779,2021,21.6,1
1111110779,2022,44.0,3
1111110780,2021,12051.6,1
1111110781,2022,40290.33,2
1111110783,2021,2192.52,1
1111110788,2022,4537.5,1
1111110789,2022,4537.5,1
1111110790,2022,4537.5,1
1111110791,2022,4537.5,1
1111110792,2022,4537.5,1
1111110794,2022,4537.5,1
1111110797,2021,1348.2,1
1111110798,2022,1356.23,1
1111110800,2022,21729.63,1
1111110805,2022,90.75,1
1111110807,2022,6776.0,1
1111110808,2022,104.56,8
1111110810,2022,960.0,1
1111110814,2022,90.75,1
1111110816,2021,6659.84,1
1111110816,2022,61167.92,8
1111110822,2022,1478.89,1
1111110823,2022,3148.69,2
1111110824,2022,20.05,2
1111110825,2022,2485.34,1
1111110832,2022,90.75,1
1111110842,2022,16593.16,7
1111110843,2022,2256387.5,8
1111110844,2022,84.67,1
1111110847,2022,90.75,1
1111110848,2022,25845.6,1
1111110849,2022,0.0,4
1111110850,2022,2976.37,1
1111110851,2022,90.75,1
1111110852,2022,9692.1,3
1111110854,2022,90.75,1
1111110855,2022,629.2,1
1111110856,2022,629.2,1
1111110857,2022,629.2,1
1111110858,2022,90.75,1
1111110871,2022,11582.62,6
1111110873,2022,104819.88,11
1111110875,2022,41773.0,2
1111110880,2022,15789.289,2
1111110881,2022,41.82,2
1111110887,2022,2138.3,1
1111110888,2022,242.0,4
1111110898,2022,52.72,1
1111110906,2022,1393.92,1
1111110907,2022,4809.75,2
1111110925,2022,6131.1,1
1111110926,2022,13576.199,2
1111110927,2022,54450.0,1
1111110931,2022,4985.2,1
1111110938,2022,4272.0,2
1111110947,2022,11053.35,2
1111110950,2022,14520.0,1
1111110952,2022,2541.0,1
1111110953,2022,423.5,1
1111110954,2022,8893.5,1
1111110961,2022,1836.0,1
1210,2002,4527.54,5
1210,2003,8336.89,12
1210,2004,6796.73,14
1210,2005,6581.63,9
1210,2006,233.16,2
1210,2007,150.8,1
1210,2008,156.83,1
1210,2009,161.53,1
1210,2010,166.39,1
1210,2011,854.01,2
1210,2015,-546.58,1
1418,2002,160.66,4
1418,2003,1463.92,2
1418,2004,358.44,5
1418,2006,13.92,1
1541,2003,406.0,1
1650,2003,1119.4,4
1716,2003,1884.5199,2
1716,2004,1444.2,2
1716,2005,7793.3003,7
1716,2006,491.26,3
1716,2007,178.64,1
1716,2008,504.59998,4
1716,2009,516.2,4
1716,2010,423.6,2
1716,2011,364.62,1
1716,2012,385.1067,1
1716,2013,396.6599,1
1716,2014,396.6599,1
1716,2015,396.6622,1
1716,2016,396.66,1
1716,2017,396.6622,1
1716,2018,396.66,1
1716,2019,396.66,1
1716,2020,396.66,1
1716,2021,396.66,1
1726,2003,92.92,1
1735,2003,5283.48,3
1735,2004,6627.07,6
1735,2005,2220.24,5
1735,2006,5032.08,4
1735,2007,3152.88,3
1735,2008,522.0,1
1746,2003,16758.81,9
1746,2004,495.90002,5
1773,2003,783.0,3
1773,2004,0.0,2
1827,2003,139.2,1
1831,2003,10200.0,1
1834,2004,548.1,1
2070,2005,0.0,5
2108,2005,145.0,1
2115,2005,87.0,1
2116,2005,87.0,1
21884,1999,466842.0,12
21884,2000,434014.0,12
21884,2001,605508.0,13
21884,2002,1852.22,6
21884,2003,1441.07,9
21884,2004,2898.28,16
21884,2005,3228.28,19
21884,2006,3989.03,21
21884,2007,1073.99,12
21885,2004,12.76,1
21888,2020,383.25,6
21888,2021,310.8,12
21888,2022,62.149998,3
21889,1999,169459.0,7
21889,2000,83520.0,4
21889,2001,411568.0,6
